Brand,total_products,avg_rating,total_reviews,avg_reviews,avg_price,max_price,min_price,per,avg_rating_nor,avg_reviews_nor,avg_price_nor,total_productst_nor
akmipoem,1,3.9,8,8.0,22.33,22.33,22.33,4.073485681697829e-05,-2.725989625823299,-0.371965944954733,-0.2159546747987706,-0.278002152709314
alaska_bear,1,4.7,24,24.0,0.0,0.0,0.0,4.073485681697829e-05,0.14627742909845234,-0.23612077700772796,-0.9049191172420784,-0.278002152709314
aleumdr,10,4.53,247,24.7,20.968,22.94,17.81,0.0004073485681697829,-0.4640793200724194,-0.23017755091004652,-0.2579774947991192,-0.048087460387249134
alisister,2,5.0,23,11.5,16.505,16.57,16.44,8.146971363395658e-05,1.2233775746941082,-0.34224981446632563,-0.395677822010247,-0.25245607578464013
all_things_accessory,2,4.25,514,257.0,10.575,11.31,9.84,8.146971363395658e-05,-1.469372789295033,1.7421244812205328,-0.5786406139354067,-0.25245607578464013
all_we_do_is,48,4.558,7178,149.542,20.238,31.94,8.58,0.0019552731272149577,-0.3635499731501597,0.8297713526424536,-0.2805007389990124,0.922663462750358
allroad,1,5.0,7,7.0,19.09,19.09,19.09,4.073485681697829e-05,1.2233775746941082,-0.38045626795142085,-0.31592085453528274,-0.278002152709314
allthingsaccessory,1,4.2,196,196.0,10.98,10.98,10.98,4.073485681697829e-05,-1.648889480227642,1.224214778422576,-0.5661448414683427,-0.278002152709314
alluresports,10,4.56,204,20.4,22.168,26.74,20.13,0.0004073485681697829,-0.35636930551285606,-0.26668593979580413,-0.22095298378559616,-0.048087460387249134
along_fit,18,4.589,750,41.667,19.501,24.8,17.97,0.0007332274227056092,-0.25224962477193974,-0.08612224062524435,-0.3032399595131511,0.15628115501014186
alove,20,4.37,2769,138.45,27.336,53.47,18.27,0.0008146971363395658,-1.03853273105677,0.7355966899631923,-0.06150075635402363,0.2073733088594896
alpha_industries,1,4.9,14,14.0,284.38,284.38,284.38,4.073485681697829e-05,0.8643441928288906,-0.32102400697460615,7.869272917779323,-0.278002152709314
alpidex,1,4.7,11,11.0,32.81,32.81,32.81,4.073485681697829e-05,0.14627742909845234,-0.34649497596466955,0.10739272138599743,-0.278002152709314
alpine_design,2,4.833,5,2.5,12.975,13.97,11.98,8.146971363395658e-05,0.6237918269791934,-0.418662721436516,-0.5045915919083607,-0.25245607578464013
altawash,2,5.0,18,9.0,10.675,10.71,10.64,8.146971363395658e-05,1.2233775746941082,-0.36347562195804517,-0.575555238017613,-0.25245607578464013
alternative,2,4.75,7,3.5,32.465,40.0,24.93,8.146971363395658e-05,0.3257941200310611,-0.41017239843982817,0.09674817446960958,-0.25245607578464013
altura,14,4.821,202,14.429,79.229,122.85,22.72,0.0005702879954376961,0.5807078211553656,-0.31738165840902705,1.5395933686666023,0.054096847311446365
alyberry_yoga_inspired,1,4.8,25,25.0,5.74,5.74,5.74,4.073485681697829e-05,0.5053108109636699,-0.22763045401104015,-0.7278185395607266,-0.278002152709314
am_pb_1,1,4.7,13,13.0,19.02,19.02,19.02,4.073485681697829e-05,0.14627742909845234,-0.32951432997129393,-0.31808061767773826,-0.278002152709314
amaggigo,51,4.553,9609,188.412,19.51,24.18,0.0,0.002077477697665893,-0.3815016422434202,1.159790207523709,-0.3029622756805496,0.9993016935243797
amatt,1,5.0,2,2.0,4.84,4.84,4.84,4.073485681697829e-05,1.2233775746941082,-0.42290788293485987,-0.7555869228208688,-0.278002152709314
amazon_essentials,5,4.82,64,12.8,23.262,26.58,13.22,0.00020367428408489145,0.5771174873367153,-0.3312123945706315,-0.1871989712449343,-0.1758178450106185
amazonas_tarphat,3,4.7,685,228.333,39.613,41.25,38.42,0.00012220457045093486,0.14627742909845234,1.4987323918744833,0.31729084507349503,-0.22690999885996624
ambrat,4,4.65,363,90.75,18.322,20.59,17.29,0.00016293942726791315,-0.03323926183415644,0.3306082830211836,-0.3396165415839375,-0.20136392193529237
amenxi,3,4.867,33,11.0,18.143,18.54,17.8,0.00012220457045093486,0.7458631768133671,-0.34649497596466955,-0.345139364476788,-0.22690999885996624
amorbella,3,4.5,103,34.333,27.81,28.17,27.58,0.00012220457045093486,-0.571789334631986,-0.1483902694829528,-0.04687607450368202,-0.22690999885996624
amz_sport,15,4.507,1019,67.933,14.447,17.21,12.8,0.0006110228522546743,-0.5466569979014219,0.13688458320575783,-0.45917485839843897,0.07964292423612024
anatoky,5,4.8,59,11.8,26.876,27.16,26.57,0.00020367428408489145,0.5053108109636699,-0.33970271756731935,-0.07569348557587405,-0.1758178450106185
andake,36,4.703,1249,34.694,33.609,62.77,14.52,0.0014664548454112183,0.1570484305544093,-0.14532526288114847,0.13204487496916817,0.6161105396542715
